Date,XLU,XLU #,XLB,XLB #,XLI,XLI #,XLE,XLE #,XLY,XLY #,XLP,XLP #,XLV,XLV #,XLK,XLK #,XLF,XLF #,Cash,Total
2000-Dec-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000
2001-Jan-02,6700.94,205,2037,97,5673.28,190,11376.8,342,3193.36,125,13050.8,463,10325.5,395,-2035.5,-69,27897.7,973,19897.4,98117.5
2001-Jan-03,6560,205,2049.12,97,5919.69,190,11029.5,342,3445.31,125,12450.4,463,11140.2,395,-2363.25,-69,29402.8,973,19897.4,99531.2
2001-Jan-04,6457.5,205,2117.33,97,5967.19,190,10687.5,342,3494.14,125,11958.4,463,11467.3,395,-2386.97,-69,28885.9,973,19897.4,98545.8
2001-Jan-05,6393.44,205,2073.38,97,5795,190,10917.3,342,3378.91,125,12038,463,11158.8,395,-2242.5,-69,28277.8,973,19897.4,97687.5
2001-Jan-08,6489.53,205,2079.44,97,5747.5,190,10879.9,342,3333.99,125,12117.6,463,10998.3,395,-2236.03,-69,27988.9,973,19897.4,97296.5
2001-Jan-09,6518.36,205,1994.56,97,5765.31,190,10660.8,342,3306.64,125,12247.8,463,11134.1,395,-2285.62,-69,27517.7,973,19897.4,96757
2001-Jan-10,6502.34,205,2012.75,97,5818.75,190,10730.2,342,3328.12,125,12175.5,463,11220.5,395,-2354.62,-69,27973.8,973,19897.4,97304.7
2001-Jan-11,6351.8,205,1958.19,97,5890,190,10847.8,342,3357.42,125,11936.7,463,11473.5,395,-2453.81,-69,28034.6,973,19897.4,97293.6
2001-Jan-12,6399.84,205,1912.72,97,5872.19,190,10778.3,342,3355.47,125,11922.2,463,11627.8,395,-2417.16,-69,27502.4,973,19897.4,96851.4
2001-Jan-16,6297.34,205,1976.38,97,5928.59,190,10773,342,3433.59,125,12088.6,463,11751.2,395,-2389.12,-69,27988.9,973,19897.4,97746.1
2001-Jan-17,6313.36,205,1965.77,97,5919.69,190,10719.6,342,3386.72,125,11951.2,463,11837.7,395,-2462.44,-69,28034.6,973,19897.4,97563.5
2001-Jan-18,6425.47,205,1955.16,97,5958.28,190,10516.5,342,3335.94,125,12045.2,463,11800.6,395,-2591.81,-69,27624.1,973,19897.4,96966.9
2001-Jan-19,6406.25,205,1900.59,97,5895.94,190,10468.4,342,3203.12,125,11951.2,463,11510.5,395,-2627.39,-69,27426.4,973,19897.4,96032.5
2001-Jan-22,6393.44,205,1915.75,97,5884.06,190,10580.6,342,3324.22,125,12023.5,463,11430.3,395,-2578.88,-69,27912.9,973,19897.4,96783.4
2001-Jan-23,6387.03,205,1921.81,97,5961.25,190,10746.3,342,3363.28,125,12103.1,463,11695.7,395,-2622,-69,28186.6,973,19897.4,97640.5
2001-Jan-24,6396.64,205,1929.39,97,5928.59,190,10735.6,342,3367.19,125,12059.7,463,11584.6,395,-2654.34,-69,28353.8,973,19897.4,97598.6
2001-Jan-25,6441.49,205,1955.16,97,5925.62,190,11056.2,342,3419.92,125,12312.9,463,11566.1,395,-2561.62,-69,28612.3,973,19897.4,98625.5
2001-Jan-26,6380.62,205,1935.45,97,5827.66,190,10869.2,342,3382.81,125,12189.9,463,11448.8,395,-2578.88,-69,28718.7,973,19897.4,98071.7
2001-Jan-29,6480.05,205,1929.33,97,5852,190,10779.8,342,3450,125,12088.9,463,11636.7,395,-2633.04,-69,28742.4,973,19897.4,98223.7
2001-Jan-30,6480.05,205,2002.08,97,5947,190,10872.2,342,3460,125,12227.8,463,11613,395,-2639.25,-69,28995.4,973,19897.4,98855.7
2001-Jan-31,6420.6,205,2022.45,97,5960.3,190,10988.5,342,3571.25,125,12260.2,463,11541.9,395,-2573.7,-69,28635.4,973,19897.4,98724.3
2001-Feb-01,6815.5,215,503.04,24,5789.52,187,15511.1,489,9015.48,316,8253.39,309,10778,364,-3653.44,-98,26022,883,19817.9,98852.6
2001-Feb-02,6740.25,215,501.36,24,5770.82,187,15770.2,489,8844.84,316,8305.92,309,10650.6,364,-3492.72,-98,26092.6,883,19817.9,99002
2001-Feb-05,6789.7,215,505.92,24,5798.87,187,16088.1,489,8794.28,316,8299.74,309,10643.4,364,-3471.16,-98,26269.2,883,19817.9,99536
2001-Feb-06,6830.55,215,501.6,24,5826.92,187,16190.8,489,8803.76,316,8336.82,309,10654.3,364,-3491.74,-98,25757.1,883,19817.9,99228
2001-Feb-07,6832.7,215,501.6,24,5776.43,187,16234.8,489,8822.72,316,8352.27,309,10756.2,364,-3401.58,-98,25695.3,883,19817.9,99388.4
2001-Feb-08,6892.9,215,494.88,24,5768.95,187,16322.8,489,8563.6,316,8327.55,309,10821.7,364,-3351.6,-98,25624.7,883,19817.9,99283.4
2001-Feb-09,6884.3,215,494.4,24,5632.44,187,16586.9,489,8453,316,8395.53,309,10647,364,-3196.76,-98,25730.6,883,19817.9,99445.4
2001-Feb-12,6890.75,215,494.4,24,5697.89,187,16366.8,489,8690,316,8466.6,309,10734.4,364,-3224.2,-98,26092.6,883,19817.9,100027
2001-Feb-13,6948.8,215,492.96,24,5757.73,187,16332.6,489,8806.92,316,8352.27,309,10745.3,364,-3169.32,-98,25942.5,883,19817.9,100028
2001-Feb-14,6832.7,215,487.44,24,5697.89,187,16215.2,489,8721.6,316,8275.02,309,10628.8,364,-3243.8,-98,25642.3,883,19817.9,99075.2
2001-Feb-15,6843.45,215,506.16,24,5795.13,187,16005,489,8718.44,316,8200.86,309,10672.5,364,-3341.8,-98,25642.3,883,19817.9,98860
2001-Feb-16,6882.15,215,494.88,24,5624.96,187,16146.8,489,8607.84,316,8228.67,309,10625.2,364,-3135.02,-98,25651.1,883,19817.9,98944.5
2001-Feb-20,6914.4,215,493.2,24,5645.53,187,16053.9,489,8721.6,316,8268.84,309,10614.2,364,-2966.46,-98,24706.3,883,19817.9,98269.5
2001-Feb-21,6832.7,215,484.8,24,5576.34,187,15946.3,489,8345.56,316,8244.12,309,10559.6,364,-2891,-98,23973.4,883,19817.9,96889.8
2001-Feb-22,6905.8,215,488.4,24,5523.98,187,15868.1,489,8216,316,8182.32,309,10359.4,364,-2895.9,-98,24141.2,883,19817.9,96607.3
2001-Feb-23,6867.1,215,486,24,5516.5,187,15667.6,489,8351.88,316,8120.52,309,10330.3,364,-2874.34,-98,24026.4,883,19817.9,96309.9
2001-Feb-26,6944.5,215,504,24,5626.83,187,15838.7,489,8607.84,316,8197.77,309,10384.9,364,-2920.4,-98,24556.2,883,19817.9,97558.3
2001-Feb-27,6953.1,215,504.72,24,5613.74,187,15740.9,489,8563.6,316,8203.95,309,10570.6,364,-2808.68,-98,24821.1,883,19817.9,97981
2001-Feb-28,6873.55,215,506.88,24,5514.63,187,15520.9,489,8383.48,316,8231.76,309,10432.2,364,-2744.98,-98,24238.4,883,19817.9,96774.7
2001-Mar-01,24062.8,761,2029.44,96,5797.44,198,11235,350,8795.7,337,8022.56,304,6740.16,236,-8121.6,-282,19098.6,695,18474,96134.1
2001-Mar-02,24123.7,761,2077.44,96,5831.1,198,11490.5,350,8863.1,337,8098.56,304,6751.96,236,-7839.6,-282,19126.4,695,18474,96997.1
2001-Mar-05,24078,761,2114.88,96,5904.36,198,11553.5,350,8768.74,337,8068.16,304,6714.2,236,-8008.8,-282,19029.1,695,18474,96696.2
2001-Mar-06,24047.6,761,2110.08,96,5989.5,198,11613,350,8991.16,337,7904,304,6737.8,236,-8347.2,-282,19084.7,695,18474,96604.6
2001-Mar-07,23933.5,761,2172.48,96,6060.78,198,11861.5,350,9213.58,337,7852.32,304,6768.48,236,-8358.48,-282,19487.8,695,18474,97465.9
2001-Mar-08,24382.4,761,2180.16,96,6098.4,198,11980.5,350,9361.86,337,7919.2,304,6806.24,236,-8192.1,-282,19564.2,695,18474,98574.9
2001-Mar-09,23956.3,761,2161.92,96,5969.7,198,11924.5,350,9267.5,337,7967.84,304,6747.24,236,-7656.3,-282,19112.5,695,18474,97925.2
2001-Mar-12,24230.2,761,2075.52,96,5643,198,11529,350,8923.76,337,7721.6,304,6409.76,236,-7247.4,-282,18174.2,695,18474,95933.7
2001-Mar-13,23667.1,761,2058.24,96,5650.92,198,11392.5,350,8883.32,337,7682.08,304,6412.12,236,-7608.36,-282,18660.8,695,18474,95272.6
2001-Mar-14,22852.8,761,2005.44,96,5532.12,198,11221,350,8691.23,337,7493.6,304,6289.4,236,-7422.24,-282,17799,695,18474,92936.3
2001-Mar-15,23256.2,761,1961.28,96,5506.38,198,11228,350,8788.96,337,7502.72,304,6475.84,236,-7334.82,-282,18334.1,695,18474,94192.6
2001-Mar-16,22906.1,761,1944,96,5347.98,198,11007.5,350,8593.5,337,7390.24,304,6388.52,236,-7174.08,-282,18035.3,695,18797.6,93236.6
2001-Mar-19,23195.3,761,1990.08,96,5454.9,198,11147.5,350,8694.6,337,7475.36,304,6388.52,236,-7396.86,-282,18243.8,695,18797.6,93990.7
2001-Mar-20,22860.4,761,2001.6,96,5344.02,198,11245.5,350,8714.82,337,7296,304,6254,236,-7041.54,-282,17736.4,695,18797.6,93208.8
2001-Mar-21,22350.6,761,1939.2,96,5205.42,198,10923.5,350,8660.9,337,7113.6,304,6088.8,236,-7075.38,-282,17222.1,695,18797.6,91226.3
2001-Mar-22,22069,761,1877.76,96,5064.84,198,10601.5,350,8391.3,337,7040.64,304,5954.28,236,-7399.68,-282,16777.3,695,18797.6,89174.5
2001-Mar-23,22031,761,1896,96,5165.82,198,10685.5,350,8485.66,337,7207.84,304,6088.8,236,-7557.6,-282,17486.2,695,18797.6,90286.8
2001-Mar-26,22761.5,761,1915.2,96,5258.88,198,10825.5,350,8633.94,337,7305.12,304,6195,236,-7458.9,-282,17764.2,695,18797.6,91998.1
2001-Mar-27,23598.6,761,1963.2,96,5344.02,198,10885,350,8822.66,337,7469.28,304,6379.08,236,-7698.6,-282,18264.6,695,18797.6,93825.5
2001-Mar-28,23096.4,761,1957.44,96,5247,198,10727.5,350,8677.75,337,7490.56,304,6246.92,236,-7128.96,-282,18167.3,695,18797.6,93279.5
2001-Mar-29,23636.7,761,1933.44,96,5247,198,10500,350,8762,337,7508.8,304,6324.8,236,-7035.9,-282,18125.6,695,18797.6,93800
2001-Mar-30,23811.7,761,1917.12,96,5264.82,198,10745,350,8792.33,337,7514.88,304,6329.52,236,-6993.6,-282,18445.3,695,18797.6,94624.7
2001-Apr-02,24860.9,792,1967.84,98,5544,210,10455.1,347,8560.8,328,15073,618,3417.21,129,-8300.6,-343,13276.7,498,19583.3,94438.2
2001-Apr-03,24742.1,792,1927.66,98,5313,210,10167.1,347,8272.16,328,14794.9,618,3341.1,129,-7744.94,-343,12828.5,498,19583.3,93224.8
2001-Apr-04,24837.1,792,1964.9,98,5338.2,210,10347.5,347,8360.72,328,14986.5,618,3361.74,129,-7597.45,-343,12514.7,498,19583.3,93697.3
2001-Apr-05,24670.8,792,2029.58,98,5649,210,10618.2,347,8547.68,328,15141,618,3445.59,129,-8400.07,-343,12972.9,498,19583.3,94257.9
2001-Apr-06,24211.4,792,2006.06,98,5535.6,210,10632.1,347,8521.44,328,15091.6,618,3430.11,129,-8009.05,-343,12684.1,498,19583.3,93686.6
2001-Apr-09,24742.1,792,2039.38,98,5634.3,210,10881.9,347,8442.72,328,15221.3,618,3472.68,129,-8029.63,-343,12679.1,498,19583.3,94667.1
2001-Apr-10,25256.9,792,2128.56,98,5800.2,210,11069.3,347,8528,328,15202.8,618,3541.05,129,-8568.14,-343,13047.6,498,19583.3,95589.5
2001-Apr-11,24916.3,792,2102.1,98,5735.1,210,10871.5,347,8432.88,328,14912.3,618,3498.48,129,-8880.27,-343,13157.2,498,19583.3,94328.9
2001-Apr-12,24900.5,792,2092.3,98,5848.5,210,10986,347,8288.56,328,15110.1,618,3495.9,129,-9103.22,-343,13256.8,498,19583.3,94458.7
