Date,ACWIexUS,ACWIexUS #,SP500TR,SP500TR #,USBond,USBond #,Cash,Total
1973-Dec-31,0,0,0,0,0,0,100000,100000
1974-Jan-01,0,0,0,0,0,0,100000,100000
1974-Jan-02,0,0,0,0,0,0,100000,100000
1974-Jan-03,0,0,0,0,0,0,100000,100000
1974-Jan-04,0,0,0,0,0,0,100000,100000
1974-Jan-05,0,0,0,0,0,0,100000,100000
1974-Jan-06,0,0,0,0,0,0,100000,100000
1974-Jan-07,0,0,0,0,0,0,100000,100000
1974-Jan-08,0,0,0,0,0,0,100000,100000
1974-Jan-09,0,0,0,0,0,0,100000,100000
1974-Jan-10,0,0,0,0,0,0,100000,100000
1974-Jan-11,0,0,0,0,0,0,100000,100000
1974-Jan-12,0,0,0,0,0,0,100000,100000
1974-Jan-13,0,0,0,0,0,0,100000,100000
1974-Jan-14,0,0,0,0,0,0,100000,100000
1974-Jan-15,0,0,0,0,0,0,100000,100000
1974-Jan-16,0,0,0,0,0,0,100000,100000
1974-Jan-17,0,0,0,0,0,0,100000,100000
1974-Jan-18,0,0,0,0,0,0,100000,100000
1974-Jan-19,0,0,0,0,0,0,100000,100000
1974-Jan-20,0,0,0,0,0,0,100000,100000
1974-Jan-21,0,0,0,0,0,0,100000,100000
1974-Jan-22,0,0,0,0,0,0,100000,100000
1974-Jan-23,0,0,0,0,0,0,100000,100000
1974-Jan-24,0,0,0,0,0,0,100000,100000
1974-Jan-25,0,0,0,0,0,0,100000,100000
1974-Jan-26,0,0,0,0,0,0,100000,100000
1974-Jan-27,0,0,0,0,0,0,100000,100000
1974-Jan-28,0,0,0,0,0,0,100000,100000
1974-Jan-29,0,0,0,0,0,0,100000,100000
1974-Jan-30,0,0,0,0,0,0,100000,100000
1974-Jan-31,0,0,0,0,0,0,100000,100000
1974-Feb-01,0,0,0,0,0,0,100000,100000
1974-Feb-02,0,0,0,0,0,0,100000,100000
1974-Feb-03,0,0,0,0,0,0,100000,100000
1974-Feb-04,0,0,0,0,0,0,100000,100000
1974-Feb-05,0,0,0,0,0,0,100000,100000
1974-Feb-06,0,0,0,0,0,0,100000,100000
1974-Feb-07,0,0,0,0,0,0,100000,100000
1974-Feb-08,0,0,0,0,0,0,100000,100000
1974-Feb-09,0,0,0,0,0,0,100000,100000
1974-Feb-10,0,0,0,0,0,0,100000,100000
1974-Feb-11,0,0,0,0,0,0,100000,100000
1974-Feb-12,0,0,0,0,0,0,100000,100000
1974-Feb-13,0,0,0,0,0,0,100000,100000
1974-Feb-14,0,0,0,0,0,0,100000,100000
1974-Feb-15,0,0,0,0,0,0,100000,100000
1974-Feb-16,0,0,0,0,0,0,100000,100000
1974-Feb-17,0,0,0,0,0,0,100000,100000
1974-Feb-18,0,0,0,0,0,0,100000,100000
1974-Feb-19,0,0,0,0,0,0,100000,100000
1974-Feb-20,0,0,0,0,0,0,100000,100000
1974-Feb-21,0,0,0,0,0,0,100000,100000
1974-Feb-22,0,0,0,0,0,0,100000,100000
1974-Feb-23,0,0,0,0,0,0,100000,100000
1974-Feb-24,0,0,0,0,0,0,100000,100000
1974-Feb-25,0,0,0,0,0,0,100000,100000
1974-Feb-26,0,0,0,0,0,0,100000,100000
1974-Feb-27,0,0,0,0,0,0,100000,100000
1974-Feb-28,0,0,0,0,0,0,100000,100000
1974-Mar-01,0,0,0,0,0,0,100000,100000
1974-Mar-02,0,0,0,0,0,0,100000,100000
1974-Mar-03,0,0,0,0,0,0,100000,100000
1974-Mar-04,0,0,0,0,0,0,100000,100000
1974-Mar-05,0,0,0,0,0,0,100000,100000
1974-Mar-06,0,0,0,0,0,0,100000,100000
1974-Mar-07,0,0,0,0,0,0,100000,100000
1974-Mar-08,0,0,0,0,0,0,100000,100000
1974-Mar-09,0,0,0,0,0,0,100000,100000
1974-Mar-10,0,0,0,0,0,0,100000,100000
1974-Mar-11,0,0,0,0,0,0,100000,100000
1974-Mar-12,0,0,0,0,0,0,100000,100000
1974-Mar-13,0,0,0,0,0,0,100000,100000
1974-Mar-14,0,0,0,0,0,0,100000,100000
1974-Mar-15,0,0,0,0,0,0,100000,100000
1974-Mar-16,0,0,0,0,0,0,100000,100000
1974-Mar-17,0,0,0,0,0,0,100000,100000
1974-Mar-18,0,0,0,0,0,0,100000,100000
1974-Mar-19,0,0,0,0,0,0,100000,100000
1974-Mar-20,0,0,0,0,0,0,100000,100000
1974-Mar-21,0,0,0,0,0,0,100000,100000
1974-Mar-22,0,0,0,0,0,0,100000,100000
1974-Mar-23,0,0,0,0,0,0,100000,100000
1974-Mar-24,0,0,0,0,0,0,100000,100000
1974-Mar-25,0,0,0,0,0,0,100000,100000
1974-Mar-26,0,0,0,0,0,0,100000,100000
1974-Mar-27,0,0,0,0,0,0,100000,100000
1974-Mar-28,0,0,0,0,0,0,100000,100000
1974-Mar-29,0,0,0,0,0,0,100000,100000
1974-Mar-30,0,0,0,0,0,0,100000,100000
1974-Mar-31,0,0,0,0,0,0,100000,100000
1974-Apr-01,0,0,0,0,0,0,100000,100000
1974-Apr-02,0,0,0,0,0,0,100000,100000
1974-Apr-03,0,0,0,0,0,0,100000,100000
1974-Apr-04,0,0,0,0,0,0,100000,100000
1974-Apr-05,0,0,0,0,0,0,100000,100000
1974-Apr-06,0,0,0,0,0,0,100000,100000
1974-Apr-07,0,0,0,0,0,0,100000,100000
1974-Apr-08,0,0,0,0,0,0,100000,100000
1974-Apr-09,0,0,0,0,0,0,100000,100000
1974-Apr-10,0,0,0,0,0,0,100000,100000
1974-Apr-11,0,0,0,0,0,0,100000,100000
1974-Apr-12,0,0,0,0,0,0,100000,100000
1974-Apr-13,0,0,0,0,0,0,100000,100000
1974-Apr-14,0,0,0,0,0,0,100000,100000
1974-Apr-15,0,0,0,0,0,0,100000,100000
1974-Apr-16,0,0,0,0,0,0,100000,100000
1974-Apr-17,0,0,0,0,0,0,100000,100000
1974-Apr-18,0,0,0,0,0,0,100000,100000
1974-Apr-19,0,0,0,0,0,0,100000,100000
1974-Apr-20,0,0,0,0,0,0,100000,100000
1974-Apr-21,0,0,0,0,0,0,100000,100000
1974-Apr-22,0,0,0,0,0,0,100000,100000
1974-Apr-23,0,0,0,0,0,0,100000,100000
1974-Apr-24,0,0,0,0,0,0,100000,100000
1974-Apr-25,0,0,0,0,0,0,100000,100000
1974-Apr-26,0,0,0,0,0,0,100000,100000
1974-Apr-27,0,0,0,0,0,0,100000,100000
1974-Apr-28,0,0,0,0,0,0,100000,100000
1974-Apr-29,0,0,0,0,0,0,100000,100000
1974-Apr-30,0,0,0,0,0,0,100000,100000
1974-May-01,0,0,0,0,0,0,100000,100000
1974-May-02,0,0,0,0,0,0,100000,100000
1974-May-03,0,0,0,0,0,0,100000,100000
1974-May-04,0,0,0,0,0,0,100000,100000
1974-May-05,0,0,0,0,0,0,100000,100000
1974-May-06,0,0,0,0,0,0,100000,100000
1974-May-07,0,0,0,0,0,0,100000,100000
1974-May-08,0,0,0,0,0,0,100000,100000
1974-May-09,0,0,0,0,0,0,100000,100000
1974-May-10,0,0,0,0,0,0,100000,100000
1974-May-11,0,0,0,0,0,0,100000,100000
1974-May-12,0,0,0,0,0,0,100000,100000
1974-May-13,0,0,0,0,0,0,100000,100000
1974-May-14,0,0,0,0,0,0,100000,100000
1974-May-15,0,0,0,0,0,0,100000,100000
1974-May-16,0,0,0,0,0,0,100000,100000
1974-May-17,0,0,0,0,0,0,100000,100000
1974-May-18,0,0,0,0,0,0,100000,100000
1974-May-19,0,0,0,0,0,0,100000,100000
1974-May-20,0,0,0,0,0,0,100000,100000
1974-May-21,0,0,0,0,0,0,100000,100000
1974-May-22,0,0,0,0,0,0,100000,100000
1974-May-23,0,0,0,0,0,0,100000,100000
1974-May-24,0,0,0,0,0,0,100000,100000
1974-May-25,0,0,0,0,0,0,100000,100000
1974-May-26,0,0,0,0,0,0,100000,100000
1974-May-27,0,0,0,0,0,0,100000,100000
1974-May-28,0,0,0,0,0,0,100000,100000
1974-May-29,0,0,0,0,0,0,100000,100000
1974-May-30,0,0,0,0,0,0,100000,100000
1974-May-31,0,0,0,0,0,0,100000,100000
1974-Jun-01,0,0,0,0,0,0,100000,100000
1974-Jun-02,0,0,0,0,0,0,100000,100000
1974-Jun-03,0,0,0,0,0,0,100000,100000
1974-Jun-04,0,0,0,0,0,0,100000,100000
1974-Jun-05,0,0,0,0,0,0,100000,100000
1974-Jun-06,0,0,0,0,0,0,100000,100000
1974-Jun-07,0,0,0,0,0,0,100000,100000
1974-Jun-08,0,0,0,0,0,0,100000,100000
1974-Jun-09,0,0,0,0,0,0,100000,100000
1974-Jun-10,0,0,0,0,0,0,100000,100000
1974-Jun-11,0,0,0,0,0,0,100000,100000
1974-Jun-12,0,0,0,0,0,0,100000,100000
1974-Jun-13,0,0,0,0,0,0,100000,100000
1974-Jun-14,0,0,0,0,0,0,100000,100000
1974-Jun-15,0,0,0,0,0,0,100000,100000
1974-Jun-16,0,0,0,0,0,0,100000,100000
1974-Jun-17,0,0,0,0,0,0,100000,100000
1974-Jun-18,0,0,0,0,0,0,100000,100000
1974-Jun-19,0,0,0,0,0,0,100000,100000
1974-Jun-20,0,0,0,0,0,0,100000,100000
1974-Jun-21,0,0,0,0,0,0,100000,100000
1974-Jun-22,0,0,0,0,0,0,100000,100000
1974-Jun-23,0,0,0,0,0,0,100000,100000
1974-Jun-24,0,0,0,0,0,0,100000,100000
1974-Jun-25,0,0,0,0,0,0,100000,100000
1974-Jun-26,0,0,0,0,0,0,100000,100000
